Time,Group,No#2,G1,G2,G3,G4,G5,G6,A1,G7,G8,G9,G10,G11,G12,G13,G14,A2,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,A3,S12,S13,S14,S15,S16_D,S16_T,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex7,phy1,phy2,phy3,phy4,phy5,phy6,A4,phy7,phy8,phy9,phy10,phy11,phy12,phy13,phy14,phy15,phy16,phy17,phy18,phy19,phy20,phy21,phy22,phy23,A5,phy24,phy25,phy26,N1,N2,N3,N4,N5,N6,R_cl1,R_cl2,R_cl3,R_cl4,R_cl5,R_cl6,R_conf1,R_conf2,R_conf3,R_conf4,R_conf5,A6,R_conf6,R_conf7,R_conf8,W_load1,W_load2,W_load3,W_load4,W_load5,Au1,Au2,Au3,Exh1,Exh2,Exh3,Exh4,Exh5,Exh6,Exh7,Exh8,Exh9,J_sat1,J_sat2,J_sat3,O_sat1,O_sat2,O_sat3,O_sat4,O_sat5,O_sat6,O_sat7,O_sat8,O_sat9,O_sat10,O_sat11,O_sat12,O_sat13,O_sat14,O_sat15,Anx1,Anx2,Anx3,Anx4,Anx5,Anx6,Anx7,Anx8,Anx9,Anx10,Anx11,Anx12,Anx13,Anx14,Anx15,Anx16,Anx17,Anx18,Anx19,Anx20,Anx21,PSI1,PSI2,PSI3,PSI4,PSI5,PSI6,PSI7,PSI8,PSI9,PSI10,PSI11,PSI12,PSI13,PSI14,PSI15,PSI16,PSI17,PSI18,age,sex,workhour,W_S_D,W_T_D,W_T_A,W_T_N,Country_2,Ex1_R,R_am1,R_am2,R_am3,R_am4,R_am5,R_am6,J_sat2_R,O_sat3_R,O_sat7_R,O_sat9_R,O_sat11_R,O_sat12_R,O_sat14_R,D4_R,D8_R,D12_R,D16_R,Phy_exp,filter_$,Sample,GR_expo,GR_bene,GR_cont,SUN_ind,SUN_dir,SUN_bene,SUN_time,EX,NOISE,R_ambi,R_conf,W_load,AUTO,J_sat,O_com,Exh,Dep,Anx,PSI,Time@Country,ZR_ambi,ZR_conf,ZW_load,ROLE_ST_2,ROLE_ST_3,GR_exposure_C,Sun_ind_C,Noise_C,Role_Stress_C,ZGR_exposure_C,ZSun_ind_C,ZNoise_C,ZRole_Stress_C,GR@Role,Sun@Role,Role2,Sun_median19,GR_expo_Median31,GR_Group,GR_group_SD,Sun_group_SD,SUN_total,R_ambi_conf,sun_dir_C,sun_total_c,role_2_c,Sun_ind@Role,Sun_dir@Role,Sun_total@Role,Sun_ind_G,Sun_dir_G,industry,job,w_exp,W_S_A,W_S_N
1,1,23,4,4,2,1,2,2,2,4,4,3,4,4,4,3,4,1,5,5,3,4,4,5,3,4,4,4,4,5,3,3,4,2,2,2,4,4,2,4,4,4,4,3,5,2,4,4,3,4,30,3,3,2,3,4,3,3,4,3,4,5,3,4,4,4,3,4,4,2,4,4,3,4,2,3,3,2,2,5,4,4,2,1,1,1,1,1,1,3,1,2,4,3,2,4,3,4,2,3,3,4,4,3,5,4,1,3,3,2,3,2,5,5,1,2,3,2,2,2,3,2,3,2,6,2,7,5,5,1,5,5,5,3,4,2,4,1,1,5,1,5,4,4,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,3,2,2,1,2,4,1,1,1,1,2,1,3,2,1,1,1,1,1,2,1,3,43,1,35,NA,10,70,20,3,3,2,3,4,2,3,2,6,5,3,4,5,5,5,2,2,2,2,3.6666666666666665,0,1,3.4444444444444446,3.7,4.333333333333333,2.4,3,4,120,3,1.5,2.6666666666666665,3.25,2.6,3.6666666666666665,6.333333333333333,4.666666666666667,2.3333333333333335,1.7,1.619047619047619,1.6111111111111112,3,1.1542597345940675,0.6913566048822273,-0.8255467424028298,1.8456163394762948,1.020069597073465,0.21654444444444465,-1.0865,-4.5062999999999995,1.8721163394762947,0.20725320256132954,-1.0315472246217154,-1.1575696641493076,1.1751294307718547,0.12083180000000007,-10.077602255400892,42,1,1,2,NA,1,2.625,3,-0.11059999999999981,-0.7273999999999998,0.5579999999999998,-0.6062669999999998,-0.061714799999999875,-0.4058891999999998,1,1,photography,Photographer,5 years,2,
1,1,21,1,1,1,1,1,1,2,1,3,3,1,3,3,3,3,1,1,1,3,3,3,1,3,3,3,3,1,4,4,3,3,4,4,1,4,4,1,3,4,4,4,3,5,1,4,4,4,3,20,3,3,2,NA,3,2,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,3,4,4,4,2,4,4,2,1,1,1,1,1,1,2,1,2,4,4,4,4,4,4,4,4,2,4,4,3,4,4,5,5,5,4,5,4,4,4,2,5,5,4,5,5,5,5,5,6,5,3,5,4,3,4,4,4,4,2,4,4,4,4,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,31,2,50,1,100,NA,NA,3,3,2,2,2,2,2,2,5,2,4,2,2,3,4,1,1,1,1,3.8666666666666667,0,1,1,3,1.6666666666666667,2.2,3.3333333333333335,4,60,NA,1.3333333333333333,2,3.875,4.6,3.3333333333333335,5,3.4,5,1.35,1,1.3333333333333333,3,-0.01613323644286673,1.554451474671502,1.4592410728388017,1.5383182382286351,2.9975593110674366,-2.2279,-1.2864999999999998,-5.5062999999999995,1.564818238228635,-1.985173135534909,-1.2231765801030179,-1.4144478959364934,0.9822391709348155,-1.4023039142857143,-9.988234814613376,43,1,1,1,1,1,2.625,3.0714285714285716,0.22273333333333367,-0.7273999999999998,0.6294285714285714,-0.809759857142857,0.14019472380952402,-0.45784634285714276,1,2,automotive,manager,11 years,,
1,1,20,5,5,4,1,4,4,2,5,4,4,4,4,4,4,3,1,5,5,5,5,4,5,3,4,4,3,4,4,4,4,5,5,4,4,4,4,5,5,5,5,5,4,5,5,5,5,4,5,15,4,3,3,1,2,1,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,2,2,2,4,4,3,2,2,2,4,1,2,1,1,2,2,4,4,4,4,4,4,2,4,2,4,2,3,2,4,2,2,2,1,3,1,4,4,1,2,2,1,1,1,2,1,1,1,6,2,6,5,4,1,3,4,4,2,3,2,4,2,1,4,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,43,2,35,1,100,NA,NA,3,2,2,2,2,2,2,2,6,5,4,4,4,5,5,1,2,1,1,3.7333333333333334,0,1,4.444444444444445,4,5,4.8,4.333333333333333,4.5,75,2,1.5,2,2.75,1.8,3,6,4.2,1.3333333333333333,1.15,1.0476190476190477,1.2777777777777777,3,-0.01613323644286673,8.80709050807635e-4,-1.7394618684994823,-0.015252527392059097,-1.7547143958915414,1.2165444444444447,1.3135,-4.5062999999999995,0.011247472607940902,1.1041548863279727,1.2680050411539137,-1.1575696641493076,0.007066635084056033,-0.01633645396825441,0.07442452624674496,34,2,2,2,2,2,4.625,2.4285714285714284,1.2227333333333332,1.2726000000000002,-0.01342857142857179,-0.017638428571429044,-0.016419561904762344,-0.01708920000000046,2,2,construction,Office Assistant,6 years,,
1,1,15,1,1,1,1,1,1,2,1,1,1,1,1,4,1,4,1,1,2,2,4,2,4,2,2,4,4,1,5,5,5,5,4,2,2,4,2,1,1,4,4,2,2,5,NA,5,5,4,1,0,2,5,5,3,3,2,3,4,3,4,4,3,4,4,4,3,4,4,2,4,4,3,4,3,4,2,4,2,4,2,4,2,1,1,1,1,3,1,3,1,3,4,4,4,5,5,5,2,2,1,1,1,3,4,2,2,5,5,4,5,1,3,3,1,3,3,4,2,2,3,3,2,2,5,3,5,4,2,4,2,2,2,4,4,2,4,4,4,2,2,3,1,3,2,3,3,3,3,3,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,4,1,1,1,3,1,1,3,1,1,1,2,1,4,4,4,25,2,40,1,25,35,40,3,4,2,2,2,1,1,1,5,2,2,4,2,2,4,2,2,2,2,3.6,0,1,1.3333333333333333,2.7,1.6666666666666667,NA,1.6666666666666667,3,0,3.6666666666666665,2,1.5,1.875,4,2.3333333333333335,5,2.7333333333333334,2.6666666666666665,1.8,1.8571428571428572,1.9444444444444444,3,-0.8939279647205675,-1.2074521086541767,0.7738047282663122,-2.1013800733747443,-1.327575345108432,-1.8945666666666667,NA,-1.5062999999999995,-2.0748800733747443,-1.6862059076126947,NA,-0.3869349687877507,-1.302390477615464,1.3787032285714291,NA,24,NA,1,1,1,NA,NA,1.7142857142857142,-1.443933333333333,NA,-0.727714285714286,NA,1.0507709142857145,NA,NA,1,pharmeceuticals,pharmacy tech,6 years,2,3
1,1,14,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,1,2,3,2,2,3,2,2,3,4,2,2,2,3,2,4,4,3,3,4,4,NA,4,3,4,4,3,5,4,3,3,4,5,30,5,1,3,1,3,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,4,1,3,4,2,1,1,4,1,1,1,2,2,2,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4,2,2,2,2,2,2,2,2,3,3,2,3,2,2,3,2,3,3,3,5,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,2,2,3,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,2,29,1,40,1,100,0,0,3,1,2,2,2,2,2,2,5,4,4,4,4,4,4,3,3,2,2,4,0,1,2,2.5,2.3333333333333335,NA,3.3333333333333335,4,150,1.6666666666666667,1.5,2,3.5,2,2,4.333333333333333,2.933333333333333,2.5555555555555554,2.05,2.380952380952381,2.2222222222222223,3,-0.01613323644286673,1.0365945527979372,-1.5109830869753191,1.0204613163550704,-0.4905217706202487,-1.2279,NA,-4.5062999999999995,1.0469613163550704,-1.088271451768266,NA,-1.1575696641493076,0.6571816589845624,-0.5097539142857141,NA,40,NA,1,1,1,NA,NA,2.857142857142857,0.22273333333333367,NA,0.41514285714285704,NA,0.0924661523809525,NA,NA,2,Media,Operations Manager,9 Years,,
1,1,10,5,2,2,1,1,1,2,1,3,3,2,4,4,4,4,1,5,4,4,4,4,5,4,4,4,5,3,5,5,4,5,5,5,5,5,5,2,4,5,5,5,4,5,4,5,5,5,3,20,1,5,5,1,1,3,2,5,3,5,5,5,5,4,5,5,5,5,4,5,5,3,5,5,5,1,4,4,2,3,4,2,1,1,4,1,1,1,1,1,1,3,5,5,5,5,5,1,1,1,1,1,3,1,1,1,1,5,1,4,1,5,5,1,2,2,2,1,1,1,1,1,1,7,1,7,4,5,1,3,4,5,3,4,2,4,2,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,38,1,35,1,5,0,0,3,5,3,1,1,1,1,1,7,5,3,4,4,5,5,1,1,1,1,4.666666666666667,0,1,2.4444444444444446,3.8,4.333333333333333,4.2,4.333333333333333,5,60,3.3333333333333335,1,1.3333333333333333,1,2.4,3.6666666666666665,7,4.066666666666666,1.3333333333333333,1.05,1,1.2777777777777777,3,-1.186526207479801,-2.4157849263591613,-1.054025523926993,-3.6023111338389624,-4.656336657765955,-0.7834555555555553,0.7135000000000002,-7.5062999999999995,-3.5758111338389624,-0.6896484812053135,0.6931169747100066,-1.9282043595108647,-2.2445212004379202,1.0178206888888888,-12.933708871095531,16,2,1,1,NA,NA,4.25,1.1428571428571428,1.2227333333333332,0.8976000000000002,-1.2991428571428574,-0.926938428571429,-1.5885052761904763,-1.166110628571429,2,2,Health,LMT,2 years,,
1,1,5,1,1,1,1,1,1,2,1,1,3,1,3,3,3,3,1,1,4,4,3,3,1,3,3,3,3,1,3,5,3,3,1,1,1,4,4,1,3,1,3,3,3,5,1,4,4,4,1,1,5,3,4,2,5,1,4,4,2,4,4,4,4,4,4,2,4,4,2,4,4,2,4,2,2,4,3,3,3,3,3,2,1,1,2,1,5,5,5,1,5,3,3,4,4,4,4,4,4,2,3,4,3,4,4,3,5,5,5,5,5,2,2,4,6,6,6,6,6,6,6,6,4,3,5,2,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,39,2,40,1,100,NA,NA,3,1,3,3,2,2,2,2,3,3,3,3,3,1,3,2,2,2,3,3.466666666666667,0,1,1,2.8,3,1,2.3333333333333335,3.5,1,2.6666666666666665,3.6666666666666665,2.3333333333333335,3.5,5,2.6666666666666665,2.6666666666666665,2.8666666666666667,5.777777777777778,1.85,1.0476190476190477,1.1666666666666667,3,0.5690632490756005,1.0365945527979372,1.916198635887128,1.6056578018735377,3.5218564377606656,-2.2279,-2.4865,8.4937,1.6321578018735377,-1.985173135534909,-2.3729527129908323,2.1818473490841064,1.0245080488616265,-1.2431681999999997,-20.211010060600014,42,1,1,1,1,1,1.5,3,-0.7772666666666663,-1.8523999999999998,0.5579999999999998,-1.3874669999999996,-0.4337147999999997,-1.0336391999999996,1,1,government,case manager,20 years,,
1,2,103,4,2,2,2,3,2,2,2,1,3,3,3,3,2,3,1,4,5,5,3,2,4,4,4,4,5,3,2,3,3,4,4,4,4,3,3,4,5,5,3,3,4,5,4,3,3,3,5,120,4,3,4,1,1,3,3,4,3,4,4,3,4,4,5,3,5,3,2,4,4,3,3,4,4,2,4,2,2,4,4,2,4,4,4,1,1,1,1,1,2,4,4,5,5,5,5,2,2,1,1,1,3,1,1,1,3,2,2,5,3,5,5,1,3,3,2,2,2,2,2,2,2,6,2,5,5,4,1,3,3,4,3,3,1,3,1,NA,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,41,NA,60,1,80,20,NA,3,2,2,2,1,1,1,1,6,5,3,5,5,NA,5,1,2,2,1,3.6,0,1,2.7777777777777777,2.7,4.666666666666667,4.2,4.333333333333333,3,600,2.3333333333333335,1.1666666666666667,1.3333333333333333,1.25,3,3.6666666666666665,5.666666666666667,NA,2.2222222222222223,NA,1,1.3333333333333333,3,-1.186526207479801,-2.0705469784434514,-0.36858917935450347,-3.2570731859232525,-3.6256623652777558,-0.4501222222222223,0.7135000000000002,-6.5062999999999995,-3.2305731859232525,-0.39068125328309916,0.6931169747100066,-1.671326127723679,-2.0278161924710845,0.5204698952380954,-11.684983213484408,18,2,1,1,NA,NA,4.25,1.2857142857142858,1.2227333333333332,0.8976000000000002,-1.1562857142857144,-0.8250098571428575,-1.4138290857142857,-1.0378820571428573,2,2,Manufacturing,Sr Design Engineer,6 years,2,
1,2,90,4,1,2,2,2,2,2,1,3,3,2,3,3,3,3,1,4,2,4,4,4,4,1,2,4,4,1,4,5,3,3,1,1,1,4,4,1,1,1,4,NA,1,5,1,4,4,4,1,0,5,2,2,2,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,5,3,3,4,2,1,4,1,1,5,3,3,2,1,1,1,4,3,3,4,1,3,2,4,2,4,3,1,4,2,2,4,4,3,4,2,5,1,2,2,1,1,1,2,4,5,6,3,2,3,3,2,4,1,6,2,6,2,4,3,1,2,4,4,3,5,4,2,2,3,2,2,1,2,1,3,3,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,3,3,4,1,1,2,3,1,2,2,3,3,1,1,1,1,1,3,32,1,40,1,100,NA,NA,3,1,4,2,4,2,3,5,6,3,2,1,4,4,4,2,4,3,3,3.8666666666666667,0,1,2.111111111111111,3.3,3.3333333333333335,1,1,NA,0,2.1666666666666665,3,3.3333333333333335,3.375,1.4,2.3333333333333335,6,2.8666666666666667,3.2222222222222223,2.4,1.4285714285714286,2,3,2.324652705631002,0.8639755788400822,-2.1964194315478087,3.1886282844710845,0.9922088529232758,-1.1167888888888888,-2.4865,4.4937000000000005,3.2151282844710845,-0.9886157091275278,-2.3729527129908323,1.1543344219353635,2.018134714509401,-1.0220213746031743,-39.812933546605436,47,1,1,1,1,1,1,3.357142857142857,-2.1106,-2.3524,0.915142857142857,-2.275502714285714,-1.9315005142857138,-2.152782057142857,1,1,Education,IT Specialist,I have been working at this job 5 years and 6 months.,,
1,2,87,3,2,2,3,2,1,2,3,4,4,2,3,5,4,4,1,3,4,2,5,3,4,2,3,5,5,3,5,5,5,5,5,4,5,5,5,5,3,5,5,5,3,5,4,5,5,4,3,50,5,1,3,1,3,3,4,5,4,5,5,5,5,4,5,3,5,5,4,5,5,5,5,2,2,5,3,3,5,2,4,2,1,1,4,1,3,1,3,1,3,4,4,5,5,5,5,4,3,1,2,2,3,4,4,2,3,3,2,3,2,3,4,2,4,3,4,2,4,5,6,5,4,6,2,6,4,3,4,3,3,4,2,4,4,4,3,2,4,3,3,3,2,3,4,3,2,3,2,4,2,3,4,2,2,1,1,2,3,2,2,2,3,2,2,3,1,1,4,3,1,2,2,1,2,2,3,5,3,2,28,1,35,1,100,0,0,3,1,2,2,1,1,1,1,6,2,4,2,3,4,3,4,3,3,3,4.733333333333333,0,1,2.4444444444444446,4.2,3,4.8,3.3333333333333335,5,150,2,2,1.3333333333333333,2.75,2.6,3,6,3.3333333333333335,4.111111111111111,1.85,2.4761904761904763,2.3333333333333335,3,-1.186526207479801,8.80709050807635e-4,-0.8255467424028298,-1.1856454984289935,-2.0111922408318232,-0.7834555555555553,1.3135,-1.5062999999999995,-1.1591454984289935,-0.6896484812053135,1.2680050411539137,-0.3869349687877507,-0.727586144670072,0.23436513333333345,-7.670065763104651,30,2,1,1,NA,2,4.25,2.142857142857143,0.22273333333333367,0.8976000000000002,-0.2991428571428574,-0.3929241428571431,-0.06662908571428587,-0.2685106285714288,2,2,business,Accountant,5 years,,
